"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: PRO LogicalModel FHIR Mapping"
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.modifierExtension","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.SourceValue","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.SourceValue","","","",1,1,"","","","decimal {[]} {[]}
","Quellwert","Wert im Ausgangssystem","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.SourceValue",1,1,"",""
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.TargetValue","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.TargetValue","","","",1,1,"","","","decimal {[]} {[]}
","Zielwert","Wert im Zielsystem","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.TargetValue",1,1,"",""
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.MappingExpression","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.MappingExpression","","","",0,1,"","","","string {[]} {[]}
","Mapping-Formel","Mathematische Transformation","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.MappingExpression",0,1,"",""
"mii-lm-pro.Score.ScoreBerechnet","mii-lm-pro.Score.ScoreBerechnet","","","",0,*,"","","","BackboneElement {[]} {[]}
","Berechnete Score-Instanz","Konkret berechneter Score-Wert","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreBerechnet",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Observation"
"mii-lm-pro.Score.ScoreBerechnet.id","mii-lm-pro.Score.ScoreBerechnet.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreBerechnet.extension","mii-lm-pro.Score.ScoreBerechnet.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreBerechnet.modifierExtension","mii-lm-pro.Score.ScoreBerechnet.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreBerechnet.ScoreID","mii-lm-pro.Score.ScoreBerechnet.ScoreID","","","",1,1,"","","","string {[]} {[]}
","Score-Instanz-ID","ID der Score-Berechnung","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreBerechnet.ScoreID",1,1,"","","Observation.id"
"mii-lm-pro.Score.ScoreBerechnet.ScoreVorlage","mii-lm-pro.Score.ScoreBerechnet.ScoreVorlage","","","",1,1,"","","","string {[]} {[]}
","Score-Template","Verweis auf Score-Definition","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreBerechnet.ScoreVorlage",1,1,"",""
"mii-lm-pro.Score.ScoreBerechnet.ScoreBerechnung","mii-lm-pro.Score.ScoreBerechnet.ScoreBerechnung","","","",1,1,"","","","string {[]} {[]}
","Verwendeter Algorithmus","Referenz zum Berechnungsalgorithmus","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreBerechnet.ScoreBerechnung",1,1,"",""
"mii-lm-pro.Score.ScoreBerechnet.Berechnungsdatum","mii-lm-pro.Score.ScoreBerechnet.Berechnungsdatum","","","",1,1,"","","","dateTime {[]} {[]}
","Berechnungszeitpunkt","Zeitpunkt der Score-Berechnung","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreBerechnet.Berechnungsdatum",1,1,"","","Observation.effectiveDateTime"
"mii-lm-pro.Score.ScoreBerechnet.ScoreInterpretation","mii-lm-pro.Score.ScoreBerechnet.ScoreInterpretation","","","",0,1,"","","","code {[]} {[]}
","Interpretation","Klinische Interpretation (normal, auffällig, kritisch)","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreBerechnet.ScoreInterpretation",0,1,"","","Observation.interpretation"
"mii-lm-pro.Score.ScoreBerechnet.BerechneterScorewert","mii-lm-pro.Score.ScoreBerechnet.BerechneterScorewert","","","",1,1,"","","","decimal {[]} {[]}
","Score-Wert","Der berechnete numerische Wert","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreBerechnet.BerechneterScorewert",1,1,"","","Observation.valueQuantity.value"
"mii-lm-pro.Score.ScoreFragebogenScore","mii-lm-pro.Score.ScoreFragebogenScore","","","",0,*,"","","","BackboneElement {[]} {[]}
","Fragebogen-basierter Score","Score direkt aus Fragebogen berechnet","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreFragebogenScore",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Score.ScoreFragebogenScore.id","mii-lm-pro.Score.ScoreFragebogenScore.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreFragebogenScore.extension","mii-lm-pro.Score.ScoreFragebogenScore.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreFragebogenScore.modifierExtension","mii-lm-pro.Score.ScoreFragebogenScore.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreFragebogenScore.FragebogenVorlage","mii-lm-pro.Score.ScoreFragebogenScore.FragebogenVorlage","","","",1,1,"","","","string {[]} {[]}
","Fragebogen-Referenz","Verweis auf Fragebogen-Template","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreFragebogenScore.FragebogenVorlage",1,1,"",""
"mii-lm-pro.Score.ScoreFragebogenScore.AusgefuellterFragebogen","mii-lm-pro.Score.ScoreFragebogenScore.AusgefuellterFragebogen","","","",1,1,"","","","string {[]} {[]}
","Response-Referenz","Verweis auf QuestionnaireResponse","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreFragebogenScore.AusgefuellterFragebogen",1,1,"","","Observation.derivedFrom[QuestionnaireResponse]"
"mii-lm-pro.Score.ScoreItembasierterScore","mii-lm-pro.Score.ScoreItembasierterScore","","","",0,*,"","","","BackboneElement {[]} {[]}
","Item-basierter Score","Score aus einzelnen Items/Antworten","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreItembasierterScore",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Score.ScoreItembasierterScore.id","mii-lm-pro.Score.ScoreItembasierterScore.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreItembasierterScore.extension","mii-lm-pro.Score.ScoreItembasierterScore.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreItembasierterScore.modifierExtension","mii-lm-pro.Score.ScoreItembasierterScore.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreItembasierterScore.AusgefuellteAntworten","mii-lm-pro.Score.ScoreItembasierterScore.AusgefuellteAntworten","","","",1,*,"","","","string {[]} {[]}
","Item-Referenzen","Verweise auf einzelne Antwort-Items","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreItembasierterScore.AusgefuellteAntworten",1,*,"",""
"mii-lm-pro.Domaene","mii-lm-pro.Domaene","","","",0,*,"","","","BackboneElement {[]} {[]}
","Gesundheitsdomänen","Klassifikation nach Gesundheitsbereichen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Domaene.id","mii-lm-pro.Domaene.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Domaene.extension","mii-lm-pro.Domaene.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Domaene.modifierExtension","mii-lm-pro.Domaene.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Domaene.DomaeneID","mii-lm-pro.Domaene.DomaeneID","","","",1,1,"","","","string {[]} {[]}
","Domain-ID","Eindeutige ID der Domain","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneID",1,1,"",""
"mii-lm-pro.Domaene.DomaeneCode","mii-lm-pro.Domaene.DomaeneCode","","","",0,1,"","","","code {[]} {[]}
","Domain-Code","Standardisierter Code (z.B. ICF)","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneCode",0,1,"",""
"mii-lm-pro.Domaene.DomaeneTitel","mii-lm-pro.Domaene.DomaeneTitel","","","",1,1,"","","","string {[]} {[]}
","Domain-Name","Bezeichnung der Domain","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneTitel",1,1,"",""
"mii-lm-pro.Domaene.DomaeneBeschreibung","mii-lm-pro.Domaene.DomaeneBeschreibung","","","",0,1,"","","","string {[]} {[]}
","Beschreibung","Detaillierte Beschreibung","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneBeschreibung",0,1,"",""
"mii-lm-pro.Domaene.DomaeneSkaliert","mii-lm-pro.Domaene.DomaeneSkaliert","","","",0,1,"","","","BackboneElement {[]} {[]}
","Skalierung","Skalierungsinformationen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneSkaliert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Domaene.DomaeneSkaliert.id","mii-lm-pro.Domaene.DomaeneSkaliert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Domaene.DomaeneSkaliert.extension","mii-lm-pro.Domaene.DomaeneSkaliert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Domaene.DomaeneSkaliert.modifierExtension","mii-lm-pro.Domaene.DomaeneSkaliert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Domaene.DomaeneSkaliert.DomaenenSkalenID","mii-lm-pro.Domaene.DomaeneSkaliert.DomaenenSkalenID","","","",1,1,"","","","string {[]} {[]}
","Skalen-ID","ID der Domänenskala","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneSkaliert.DomaenenSkalenID",1,1,"",""
"mii-lm-pro.Domaene.DomaeneSkaliert.Minimum","mii-lm-pro.Domaene.DomaeneSkaliert.Minimum","","","",0,1,"","","","decimal {[]} {[]}
","Minimum","Minimaler Wert","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneSkaliert.Minimum",0,1,"",""
"mii-lm-pro.Domaene.DomaeneSkaliert.Maximum","mii-lm-pro.Domaene.DomaeneSkaliert.Maximum","","","",0,1,"","","","decimal {[]} {[]}
","Maximum","Maximaler Wert","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneSkaliert.Maximum",0,1,"",""
"mii-lm-pro.Domaene.DomaeneSkaliert.Skalenwert","mii-lm-pro.Domaene.DomaeneSkaliert.Skalenwert","","","",0,1,"","","","code {[]} {[]}
","Skalentyp","Art der Skala","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.DomaeneSkaliert.Skalenwert",0,1,"",""
"mii-lm-pro.Domaene.Referenzpopulation","mii-lm-pro.Domaene.Referenzpopulation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Referenzpopulation","Normwerte für Populationen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.Referenzpopulation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Domaene.Referenzpopulation.id","mii-lm-pro.Domaene.Referenzpopulation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Domaene.Referenzpopulation.extension","mii-lm-pro.Domaene.Referenzpopulation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Domaene.Referenzpopulation.modifierExtension","mii-lm-pro.Domaene.Referenzpopulation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Domaene.Referenzpopulation.Altersbereich","mii-lm-pro.Domaene.Referenzpopulation.Altersbereich","","","",0,1,"","","","string {[]} {[]}
","Altersbereich","z.B. '18-65 Jahre'","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.Referenzpopulation.Altersbereich",0,1,"",""
"mii-lm-pro.Domaene.Referenzpopulation.Geschlecht","mii-lm-pro.Domaene.Referenzpopulation.Geschlecht","","","",0,1,"","","","code {[]} {[]}
","Geschlecht","Geschlechtsspezifische Norm","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.Referenzpopulation.Geschlecht",0,1,"",""
"mii-lm-pro.Domaene.Referenzpopulation.Indikation","mii-lm-pro.Domaene.Referenzpopulation.Indikation","","","",0,1,"","","","string {[]} {[]}
","Indikation","Krankheitsspezifische Norm","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.Referenzpopulation.Indikation",0,1,"",""
"mii-lm-pro.Domaene.Referenzpopulation.Mittelwert","mii-lm-pro.Domaene.Referenzpopulation.Mittelwert","","","",0,1,"","","","decimal {[]} {[]}
","Mittelwert","Durchschnittswert der Population","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.Referenzpopulation.Mittelwert",0,1,"",""
"mii-lm-pro.Domaene.Referenzpopulation.Standardabweichung","mii-lm-pro.Domaene.Referenzpopulation.Standardabweichung","","","",0,1,"","","","decimal {[]} {[]}
","Standardabweichung","Streuung der Werte","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Domaene.Referenzpopulation.Standardabweichung",0,1,"",""
